Country,Break,Lat,Long,Wave_type,Direction,Bottom,Difficulty
tunisia,Hamamet Yasmine,36.35992813110352,10.55030822753906,Beach break,Right & left,Sand,Intermediate surfer
tunisia,La Coupole,36.98500442504883,10.45898437500000,Beach break,Right,Sand,Intermediate surfer
tunisia,La Droite du Fort,36.96436309814453,8.75481605529785,Reef break,Right,Rocky reef,Advanced surfer
china,Riyuewan Beach,18.56007194519043,110.16248321533203,Beach break,Right,Sand & Rock,Beginners
china,Shilaoren,36.08829879760742,120.46590423583984,Beach break,Right & left,Sand,Beginners
indonesia,Balangan,-8.79084587097168,115.12075805664062,Reef break,Left,Coral reef,Intermediate surfer
indonesia,Bingin,-8.80102443695068,115.11397552490234,Reef break,Left,Coral reef,Intermediate surfer
indonesia,Canggu,-8.66333580017090,115.12916564941406,Reef break,Right & left,Rocky reef,Intermediate surfer
indonesia,Coral baeh,-8.38786411285400,114.56755065917969,Reef break,Right,Coral reef,Unknown
indonesia,Dreamland,-8.79848003387451,115.11577606201172,Beach break,Right & left,Boulders,Beginners
indonesia,Impossibles,-8.80535030364990,115.10642242431640,Point break,Left,Sand,Intermediate surfer
indonesia,Keramas,-8.59790992736816,115.34243011474610,Rivermouth,Right,Sand & Rock,Intermediate surfer
indonesia,Kuta Beach,-8.72086048126221,115.16555786132812,Beach break,Right & left,Sand,Beginners
indonesia,Kuta Reef,-8.73019313812256,115.15277099609375,Reef break,Left,Coral reef,Intermediate surfer
indonesia,Medewi,-8.40445137023926,114.62036132812500,Reef break,Left,Rocky reef,Beginners
indonesia,Padang Padang,-8.80764007568359,115.10127258300781,Reef break,Left,Coral reef,Advanced surfer
indonesia,Shipwrecks,-8.66422653198242,115.44064331054688,Reef break,Right,Unknown,Intermediate surfer
indonesia,Uluwatu,-8.80806446075439,115.08968353271484,Reef break,Left,Coral reef,Advanced surfer
indonesia,Batu Layar,-7.72929763793945,108.66648864746094,Reef break,Right,Rocky reef,Intermediate surfer
indonesia,Bombies,-8.22440242767334,111.07752990722656,Beach break,Right,Sand,Intermediate surfer
indonesia,G-Land,-8.73282337188721,114.34784698486328,Reef break,Left,Coral reef,Advanced surfer
indonesia,Lenggoksono,-8.37379741668701,112.83341217041016,Point break,Right,Sand,Beginners
indonesia,Parangtritis Beach,-8.01971054077148,110.28385162353516,Beach break,Right & left,Sand,Beginners
indonesia,Batu congok,-8.87421703338623,116.17012023925781,Point break,Left,Coral reef,Advanced surfer
indonesia,Desert Point,-8.74991703033447,115.82201385498047,Reef break,Left,Coral reef,Advanced surfer
indonesia,Gerupuk Inside,-8.91186809539795,116.35302734375000,Reef break,Right & left,Rocky reef,Beginners
indonesia,Drews Right AKA Jennys,-5.05195856094360,103.79402160644531,Reef break,Right,Coral reef,Advanced surfer
indonesia,Gusung Merpas,-4.93977642059326,103.54622650146484,Reef break,Right & left,Rocky reef,Intermediate surfer
indonesia,Karnang Nyimbor,-5.30976629257202,103.99108886718750,Reef break,Left,Coral reef,Intermediate surfer
indonesia,Krui Lampung Barat,-5.37736320495605,104.05520629882812,Point break,Right & left,Sand & Rock,Advanced surfer
indonesia,Krui left,-5.42512941360474,104.10511779785156,Reef break,Left,Coral reef,Beginners
indonesia,Krui right,-5.52825403213501,104.23033905029297,Reef break,Right,Boulders,Beginners
indonesia,Lampuuk Beach,5.48808050155640,95.22478485107422,Reef break,Right,Rocky reef,Beginners
indonesia,Mandiri,-5.25575160980225,103.98010253906250,Beach break,Right & left,Sand,Intermediate surfer
indonesia,Pantai Air Manis,-0.99344044923782,100.36079406738281,Beach break,Right & left,Sand,Beginners
indonesia,Pantai Panjang Bangkulu,-3.80636310577393,102.26013946533203,Beach break,Right & left,Sand,Beginners
indonesia,Parkit,-0.90271908044815,100.34268188476562,Point break,Right & left,Sand,Advanced surfer
indonesia,Pasir Putih,-0.86577337980270,100.33155059814453,Point break,Right & left,Sand,Advanced surfer
indonesia,Purus,-0.93130779266357,100.34848022460938,Point break,Right & left,Sand,Advanced surfer
indonesia,Bank Vaults,-1.85164642333984,99.24928283691406,Reef break,Right,Boulders,Beginners
indonesia,Beng Bengs,-1.80557870864868,99.25735473632812,Reef break,Left,Coral reef,Intermediate surfer
indonesia,Burgerworld,-1.83869266510010,99.15092468261719,Reef break,Right,Coral reef,Intermediate surfer
indonesia,Dylan's Right,2.35401654243469,96.32048797607422,Reef break,Right,Coral reef,Advanced surfer
indonesia,E'bay,-1.85544955730438,99.25598144531250,Reef break,Left,Sand & Rock,Intermediate surfer
indonesia,Greenbush,-2.77436351776123,99.99275970458984,Reef break,Left,Boulders,Advanced surfer
indonesia,Hideaways,-1.85213243961334,99.30335998535156,Reef break,Right,Boulders,Beginners
indonesia,Hole,-3.32904720306396,100.43041992187500,Reef break,Right,Coral reef,Advanced surfer
indonesia,Jackals Simeulue,2.45992398262024,96.21809387207031,Reef break,Right & left,Sand & Rock,Unknown
indonesia,Macaronis,-2.80074095726013,99.98519897460938,Reef break,Left,Coral reef,Intermediate surfer
indonesia,Nipussi,-1.84752869606018,99.25357818603516,Reef break,Right,Coral reef,Intermediate surfer
indonesia,Pitstop,-1.83200132846832,99.24868774414062,Beach break,Right & left,Sand & Rock,Beginners
indonesia,Rags Left,-3.05491614341736,100.17423248291016,Reef break,Left,Boulders,Intermediate surfer
indonesia,Rags Right,-3.07593011856079,100.19037628173828,Reef break,Right,Coral reef,Intermediate surfer
indonesia,Simeulue,2.42725205421448,96.36486053466797,Reef break,Right & left,Coral reef,Unknown
indonesia,Telescopes,-2.06309533119202,99.53922271728516,Reef break,Left,Coral reef,Intermediate surfer
japan,Shirahama,34.69462585449219,138.97601318359375,Beach break,Right & left,Sand,Beginners
japan,Onjuku,35.18040847778320,140.35668945312500,Beach break,Right & left,Sand,Beginners
japan,Shichirigahama,35.30239105224609,139.50971984863280,Beach break,Right & left,Sand & Rock,Intermediate surfer
japan,Corners,26.33425140380859,127.74145507812500,Reef break,Right & left,Coral reef,Intermediate surfer
japan,Turtles,26.35087966918945,127.74121856689453,Reef break,Right,Rocky reef,Advanced surfer
japan,Ozaki,33.31959533691406,134.19645690917970,Beach break,Right & left,Sand & Rock,Beginners
japan,Shiina,33.32040023803711,134.19540405273438,Beach break,Right & left,Sand & Rock,Beginners
maldives,BluBowl,0.23423129320145,73.28333282470703,Reef break,Right,Coral reef,Advanced surfer
maldives,Cokes,4.36857700347900,73.65492248535156,Reef break,Right,Rocky reef,Intermediate surfer
maldives,High Rights,-0.59148633480072,73.07585144042969,Reef break,Right & left,Rocky reef,Beginners
maldives,Honkey's,4.31128168106079,73.58217620849610,Reef break,Left,Coral reef,Intermediate surfer
maldives,Jailbreaks,4.30768728256226,73.57870483398438,Reef break,Right,Coral reef,Intermediate surfer
maldives,Machines,2.03624773025513,73.53556823730469,Reef break,Right,Coral reef,Intermediate surfer
maldives,Pasta Point,4.31465911865234,73.58964538574219,Reef break,Left,Coral reef,Advanced surfer
maldives,Sultans,4.31209516525269,73.58685302734375,Reef break,Right,Coral reef,Intermediate surfer
maldives,Uthuru Muli,4.31536388397217,72.93727111816406,Reef break,Left,Coral reef,Intermediate surfer
maldives,Yin Yang,1.79888725280762,73.39596557617188,Reef break,Right,Coral reef,Advanced surfer
middle_east,A1,31.81131744384766,34.63800430297852,Beach break,Right,Sand,Beginners
middle_east,Ha'ma'aravi (the wetern coast),31.84373283386230,34.65774536132812,Beach break,Right & left,Sand,Intermediate surfer
middle_east,Hadromi (the south) Herzelia,32.15672302246094,34.79503250122070,Beach break,Right,Sand,Intermediate surfer
middle_east,Haim,32.30259704589844,34.84111785888672,Reef break,Right & left,Sand & Rock,Beginners
middle_east,Hilton North,32.09124755859375,34.76966857910156,Beach break,Right & left,Sand & Rock,Beginners
middle_east,Neharia,33.01139831542969,35.08870315551758,Beach break,Right,Sand & Rock,Intermediate surfer
middle_east,Palmahim The Tzinorot (the tubs),31.92591285705566,34.69593048095703,Beach break,Right & left,Sand & Rock,Advanced surfer
middle_east,The Marina,32.16605758666992,34.79732894897461,Beach break,Right & left,Sand,Intermediate surfer
philippines,Bacnotan,16.72566032409668,120.34106445312500,Reef break,Right,Rocky reef,Advanced surfer
philippines,Bagasbas,14.13657569885254,122.98383331298828,Reef break,Left,Sand,Unknown
philippines,Baler,15.75607585906982,121.57350921630860,Beach break,Right & left,Sand,Beginners
philippines,Cobra,15.78004169464111,121.61594390869140,Reef break,Right & left,Rocky reef,Advanced surfer
philippines,Crystal Beach,15.01891994476318,120.06539916992188,Beach break,Right & left,Sand,Beginners
philippines,Jomalig Island,14.68467140197754,122.41172790527344,Beach break,Right & left,Sand & Rock,Advanced surfer
philippines,LolaSayong,12.91698265075684,124.12113189697266,Beach break,Right & left,Sand,Intermediate surfer
philippines,Mona Lisa Point,16.64893913269043,120.30557250976562,Point break,Right,Coral reef,Intermediate surfer
philippines,San Antonio,18.35928535461426,121.64303588867188,Beach break,Right & left,Sand,Intermediate surfer
philippines,San Juan,16.65888786315918,120.32153320312500,Reef break,Right,Sand,Beginners
philippines,Dahican,6.92950010299683,126.27878570556640,Reef break,Right,Rocky reef,Intermediate surfer
philippines,Cloud 9,9.81157779693604,126.17420196533203,Reef break,Right & left,Coral reef,Advanced surfer
philippines,The Hidden Waves Of Samar,10.96371555328369,125.82969665527344,Reef break,Right & left,Coral reef,Intermediate surfer
south_korea,Ingu beach,37.96781158447266,128.76264953613280,Beach break,Right & left,Sand,Beginners
south_korea,Jukdo,37.97397613525391,128.76008605957030,Beach break,Right & left,Sand,Beginners
south_korea,Jungmun,33.24496841430664,126.41161346435547,Beach break,Right & left,Sand,Intermediate surfer
south_korea,Malipo beach,36.78915023803711,126.14260101318360,Beach break,Right & left,Sand,Intermediate surfer
south_korea,Songjeong Beach,35.17844009399414,129.19976806640625,Beach break,Right & left,Sand,Beginners
sri_lanka,Arugam Bay Main Point,6.85007762908936,81.85638427734375,Reef break,Right,Coral reef,Intermediate surfer
sri_lanka,Deveta,6.03310298919678,80.22335052490234,Beach break,Right & left,Sand,Beginners
sri_lanka,Elephant Rock,6.80431318283081,81.82582855224610,Point break,Right,Sand & Rock,Beginners
sri_lanka,Hana's surf spot,5.97484779357910,80.35511016845703,Reef break,Right & left,Sand & Rock,Intermediate surfer
sri_lanka,Hikkaduwa,6.13236236572266,80.09307861328125,Reef break,Right,Coral reef,Beginners
sri_lanka,Maddawatta,5.93869209289551,80.57026672363281,Beach break,Right & left,Sand,Intermediate surfer
sri_lanka,Madiha,5.94389963150024,80.61767578125000,Reef break,Right & left,Sand & Rock,Intermediate surfer
sri_lanka,Midigama Left,5.95999145507812,80.39015960693360,Point break,Left,Coral reef,Beginners
sri_lanka,Midigama Right,5.96140003204346,80.38613891601562,Reef break,Right,Coral reef,Intermediate surfer
sri_lanka,The Peak Surf Point Habaraduwa,5.92204475402832,80.32653808593750,Reef break,Right & left,Sand & Rock,Intermediate surfer
sri_lanka,Unawtuna,6.00228881835938,80.24371337890625,Reef break,Left,Coral reef,Advanced surfer
sri_lanka,Weligama,5.95824146270752,80.43648529052734,Beach break,Right & left,Sand,Beginners
sri_lanka,Whiskey Point,6.90623283386230,81.84640502929688,Point break,Right,Sand,Intermediate surfer
taiwan,Jinzun,22.95497512817383,121.29553985595703,Point break,Right & left,Rocky reef,Intermediate surfer
taiwan,Nanti,24.86432266235352,121.83737182617188,Beach break,Right & left,Sand,Intermediate surfer
taiwan,ShuangShi (Double Lion),24.88871383666992,121.84970855712890,Beach break,Right & left,Sand,Beginners
taiwan,Smelly water,24.85687446594238,121.83274841308594,Point break,Left,Sand,Intermediate surfer
taiwan,Wai'ou,24.88327026367188,121.84644317626953,Point break,Right & left,Sand & Rock,Intermediate surfer
taiwan,Wushi,24.87201118469238,121.84088134765625,Beach break,Right & left,Sand,Beginners
thailand,Aow yai,9.71836280822754,98.38471221923828,Beach break,Right & left,Sand,Beginners
thailand,Cape Pakarang,8.73307704925537,98.20404052734375,Reef break,Right & left,Sand & Rock,Intermediate surfer
