Country,Break,Lat,Long,Wave_type,Direction,Bottom,Difficulty,Fixed
morocco,imsouane_surf,30.84181594848633,-9.81924533843994,Point break,Right & left,Sand & Rock,Intermediate surfer,N
morocco,killer_point,30.55076789855957,-9.74010944366455,Point break,Right,Sand & Rock,Advanced surfer,N
morocco,killers_beach,30.41196632385254,-9.60436820983887,Beach break,Right,Sand,Beginners,N
morocco,oudaya,34.03358078002930,-6.83751964569092,Rivermouth,Right & left,Sand,Beginners,N
morocco,panorama,30.54241561889648,-9.70854377746582,Point break,Right,Sand,Intermediate surfer,N
morocco,safi,32.31034851074219,-9.26490783691406,Point break,Right,Rocky reef,Advanced surfer,N
morocco,sidi_kaouki,31.38539505004883,-9.83115386962891,Point break,Right & left,Sand & Rock,Intermediate surfer,N
morocco,tamri_,30.71084785461426,-9.85860919952393,Reef break,Right & left,Sand,Advanced surfer,N
morocco,unicorns,30.62321472167969,-9.86926364898682,Reef break,Right,Rocky reef,Advanced surfer,N
mozambique,tofinho_point,-23.86499977111816,35.55250930786133,Reef break,Right,Rocky reef,Intermediate surfer,N
namibia,skeleton_bay,-22.94448280334473,14.35981750488281,Point break,Left,Sand,Intermediate surfer,N
reunion,black_and_decker,-20.89987182617188,55.43701171875000,Reef break,Right & left,Boulders,Beginners,N
reunion,st_gilles_les_baines,-21.05374526977539,55.16784667968750,Reef break,Right,Sand,Beginners,N
reunion,the_cafrine,-21.17032623291016,55.25436401367188,Reef break,Right & left,Rocky reef,Intermediate surfer,N
reunion,trois_bassins,-21.11316680908203,55.24234771728516,Reef break,Right & left,Coral reef,Intermediate surfer,N
senegal,ngor_right,14.75405025482178,-17.51684188842773,Point break,Right,Rocky reef,Advanced surfer,N
senegal,virage,14.76558685302734,-17.49435424804688,Beach break,Right & left,Sand & Rock,Beginners,N
senegal,yoff_plage,14.76558685302734,-17.45967864990234,Beach break,Right & left,Sand,Intermediate surfer,N
south_africa,big_bay,-33.79600143432617,18.45724487304688,Point break,Right & left,Sand,Advanced surfer,N
south_africa,dungeons,-34.06048202514648,18.32631111145020,Reef break,Right,Rocky reef,Advanced surfer,N
south_africa,long_beach,-34.13628005981445,18.32835006713867,Beach break,Right & left,Sand,Intermediate surfer,N
south_africa,muizenberg,-34.10604476928711,18.47509956359863,Beach break,Right & left,Sand,Beginners,N
south_africa,pipe,-34.10530853271484,18.81633567810059,Beach break,Right & left,Sand,Intermediate surfer,N
south_africa,surfing,-34.09986495971680,18.49788665771484,Beach break,Right,Sand,Beginners,N
south_africa,addington,-29.86282730102539,31.04332923889160,Beach break,Right & left,Sand,Beginners,N
south_africa,ansteys_,-29.92437744140625,31.01961898803711,Reef break,Right & left,Sand & Rock,Advanced surfer,N
south_africa,cave_rock,-29.93306350708008,31.01285171508789,Reef break,Right,Rocky reef,Advanced surfer,N
south_africa,gazals,-29.73576164245605,31.07482910156250,Reef break,Right,Rocky reef,Advanced surfer,N
south_africa,new_pier,-29.84985733032227,31.04103279113770,Beach break,Right & left,Sand & Rock,Intermediate surfer,N
south_africa,scottburgh,-30.29197883605957,30.76669692993164,Beach break,Right & left,Sand & Rock,Beginners,N
south_africa,surfers_,-29.54717636108398,31.21627807617188,Beach break,Right & left,Sand & Rock,Beginners,N
south_africa,nahoon_reef,-32.99700164794922,27.95196533203125,Reef break,Right,Boulders,Intermediate surfer,N
south_africa,cape_infanta,-34.44315719604492,20.88363647460938,Point break,Right,Sand & Rock,Beginners,N
south_africa,cape_st_francis,-34.18227005004883,24.86532211303711,Point break,Right,Sand,Beginners,N
south_africa,kitchen_windows,-34.06332397460938,24.93355751037598,Reef break,Right & left,Rocky reef,Beginners,N
south_africa,supertubes,-34.02819442749023,24.93656158447266,Point break,Right,Sand & Rock,Advanced surfer,N
south_africa,boilers_,-34.02812957763672,25.68535041809082,Breakwater / groyne,Left,Sand,Advanced surfer,N
south_africa,fence,-33.96379470825195,25.64620971679688,Breakwater / groyne,Right & left,Sand,Intermediate surfer,N
south_africa,look_out,-34.03957366943359,25.63865661621094,Reef break,Right & left,Rocky reef,Intermediate surfer,N
south_africa,millers,-33.98073577880859,25.66020011901855,Point break,Right,Sand & Rock,Beginners,N
south_africa,pipe,-33.98671340942383,25.67346000671387,Beach break,Right & left,Sand & Rock,Beginners,N
south_africa,voelklip_beach,-34.38877868652344,19.08874511718750,Beach break,Right,Sand,Beginners,N
tunisia,bizerte_corniche,37.32020950317383,9.87035751342773,Beach break,Left,Sand & Rock,Beginners,N
tunisia,hamamet_yasmine,36.35992813110352,10.55030822753906,Beach break,Right & left,Sand,Intermediate surfer,N
tunisia,la_coupole,36.98500442504883,10.45898437500000,Beach break,Right,Sand,Intermediate surfer,N
tunisia,la_droite_du_fort,36.96436309814453,8.75481605529785,Reef break,Right,Rocky reef,Advanced surfer,N
china,riyuewan_beach,18.56007194519043,110.16248321533203,Beach break,Right,Sand & Rock,Beginners,N
china,shilaoren,36.08829879760742,120.46590423583984,Beach break,Right & left,Sand,Beginners,N
indonesia,balangan,-8.79084587097168,115.12075805664062,Reef break,Left,Coral reef,Intermediate surfer,N
indonesia,bingin,-8.80102443695068,115.11397552490234,Reef break,Left,Coral reef,Intermediate surfer,N
indonesia,canggu,-8.66333580017090,115.12916564941406,Reef break,Right & left,Rocky reef,Intermediate surfer,N
indonesia,coral_baeh,-8.38786411285400,114.56755065917969,Reef break,Right,Coral reef,Unknown,N
indonesia,dreamland,-8.79848003387451,115.11577606201172,Beach break,Right & left,Boulders,Beginners,N
indonesia,impossibles,-8.80535030364990,115.10642242431640,Point break,Left,Sand,Intermediate surfer,N
indonesia,keramas,-8.59790992736816,115.34243011474610,Rivermouth,Right,Sand & Rock,Intermediate surfer,N
indonesia,kuta_beach,-8.72086048126221,115.16555786132812,Beach break,Right & left,Sand,Beginners,N
indonesia,kuta_reef,-8.73019313812256,115.15277099609375,Reef break,Left,Coral reef,Intermediate surfer,N
indonesia,medewi,-8.40445137023926,114.62036132812500,Reef break,Left,Rocky reef,Beginners,N
indonesia,padang_padang,-8.80764007568359,115.10127258300781,Reef break,Left,Coral reef,Advanced surfer,N
indonesia,shipwrecks,-8.66422653198242,115.44064331054688,Reef break,Right,Unknown,Intermediate surfer,N
indonesia,uluwatu,-8.80806446075439,115.08968353271484,Reef break,Left,Coral reef,Advanced surfer,N
indonesia,batu_layar,-7.72929763793945,108.66648864746094,Reef break,Right,Rocky reef,Intermediate surfer,N
indonesia,bombies,-8.22440242767334,111.07752990722656,Beach break,Right,Sand,Intermediate surfer,N
indonesia,g-land,-8.73282337188721,114.34784698486328,Reef break,Left,Coral reef,Advanced surfer,N
indonesia,lenggoksono,-8.37379741668701,112.83341217041016,Point break,Right,Sand,Beginners,N
indonesia,parangtritis_beach,-8.01971054077148,110.28385162353516,Beach break,Right & left,Sand,Beginners,N
indonesia,batu_congok,-8.87421703338623,116.17012023925781,Point break,Left,Coral reef,Advanced surfer,N
indonesia,desert_point,-8.74991703033447,115.82201385498047,Reef break,Left,Coral reef,Advanced surfer,N
indonesia,gerupuk_inside,-8.91186809539795,116.35302734375000,Reef break,Right & left,Rocky reef,Beginners,N
indonesia,drews_right_aka_jennys,-5.05195856094360,103.79402160644531,Reef break,Right,Coral reef,Advanced surfer,N
indonesia,gusung_merpas,-4.93977642059326,103.54622650146484,Reef break,Right & left,Rocky reef,Intermediate surfer,N
indonesia,karnang_nyimbor,-5.30976629257202,103.99108886718750,Reef break,Left,Coral reef,Intermediate surfer,N
indonesia,krui_lampung_barat,-5.37736320495605,104.05520629882812,Point break,Right & left,Sand & Rock,Advanced surfer,N
indonesia,krui_left,-5.42512941360474,104.10511779785156,Reef break,Left,Coral reef,Beginners,N
indonesia,krui_right,-5.52825403213501,104.23033905029297,Reef break,Right,Boulders,Beginners,N
indonesia,lampuuk_beach,5.48808050155640,95.22478485107422,Reef break,Right,Rocky reef,Beginners,N
indonesia,mandiri,-5.25575160980225,103.98010253906250,Beach break,Right & left,Sand,Intermediate surfer,N
indonesia,pantai_air_manis,-0.99344044923782,100.36079406738281,Beach break,Right & left,Sand,Beginners,N
indonesia,pantai_panjang_bangkulu,-3.80636310577393,102.26013946533203,Beach break,Right & left,Sand,Beginners,N
indonesia,parkit,-0.90271908044815,100.34268188476562,Point break,Right & left,Sand,Advanced surfer,N
indonesia,pasir_putih,-0.86577337980270,100.33155059814453,Point break,Right & left,Sand,Advanced surfer,N
indonesia,purus,-0.93130779266357,100.34848022460938,Point break,Right & left,Sand,Advanced surfer,N
indonesia,bank_vaults,-1.85164642333984,99.24928283691406,Reef break,Right,Boulders,Beginners,N
indonesia,beng_bengs,-1.80557870864868,99.25735473632812,Reef break,Left,Coral reef,Intermediate surfer,N
indonesia,burgerworld,-1.83869266510010,99.15092468261719,Reef break,Right,Coral reef,Intermediate surfer,N
indonesia,dylans_right,2.35401654243469,96.32048797607422,Reef break,Right,Coral reef,Advanced surfer,N
indonesia,ebay,-1.85544955730438,99.25598144531250,Reef break,Left,Sand & Rock,Intermediate surfer,N
indonesia,greenbush,-2.77436351776123,99.99275970458984,Reef break,Left,Boulders,Advanced surfer,N
indonesia,hideaways,-1.85213243961334,99.30335998535156,Reef break,Right,Boulders,Beginners,N
indonesia,hole,-3.32904720306396,100.43041992187500,Reef break,Right,Coral reef,Advanced surfer,N
indonesia,jackals_simeulue,2.45992398262024,96.21809387207031,Reef break,Right & left,Sand & Rock,Unknown,N
indonesia,macaronis,-2.80074095726013,99.98519897460938,Reef break,Left,Coral reef,Intermediate surfer,N
indonesia,nipussi,-1.84752869606018,99.25357818603516,Reef break,Right,Coral reef,Intermediate surfer,N
indonesia,pitstop,-1.83200132846832,99.24868774414062,Beach break,Right & left,Sand & Rock,Beginners,N
indonesia,rags_left,-3.05491614341736,100.17423248291016,Reef break,Left,Boulders,Intermediate surfer,N
indonesia,rags_right,-3.07593011856079,100.19037628173828,Reef break,Right,Coral reef,Intermediate surfer,N
indonesia,simeulue,2.42725205421448,96.36486053466797,Reef break,Right & left,Coral reef,Unknown,N
